Country Name	Country Code	Series Name	Series Code	1990 [YR1990]	2000 [YR2000]	2016 [YR2016]	2017 [YR2017]	2018 [YR2018]	2019 [YR2019]	2020 [YR2020]	2021 [YR2021]	2022 [YR2022]	2023 [YR2023]	2024 [YR2024]	2025 [YR2025]
Mexico	MEX	Military expenditure (% of GDP)	MS.MIL.XPND.GD.ZS	0.433081035474032	0.4085181378342	0.480046272445401	0.424849155540147	0.464611544931539	0.509337628297564	0.717690608258695	0.659404192954647	0.685819352028866	0.660371879752505	0.893257529320534	..
Mexico	MEX	Mobile cellular subscriptions (per 100 people)	IT.CEL.SETS.P2	0.078225239	14.2741	91.3942	92.6494	96.4612	97.0359	96.9237	99.0948	105.713	111.562	..	..
Mexico	MEX	High-technology exports (% of manufactured exports)	TX.VAL.TECH.MF.ZS	..	..	20.6541116351274	21.1680967750153	20.8917456407643	20.4068584131191	21.5074249745377	19.8113406398377	20.5343692257849	17.7318284670198	19.3033812138817	..
Mexico	MEX	Merchandise trade (% of GDP)	TG.VAL.TOTL.GD.ZS	32.2517950327579	46.6040994370259	69.3622338984454	70.6808449355994	73.8317173427332	71.1385312962896	72.2927901789132	77.2768946678518	82.0774080850963	67.5342894104302	67.9324153075282	..
Mexico	MEX	Net barter terms of trade index (2015 = 100)	TT.PRI.MRCH.XD.WD	109.1888967522	106.8901831724	103.2	102.7	102	105.2	107.9	103.5	98.9	101	..	..
Mexico	MEX	External debt stocks, total (DOD, current US$)	DT.DOD.DECT.CD	104604453446.9	178113615414.8	544792453300	578638429804.9	602000702060.1	617449991504.4	616686384395	601471659897.8	585861539733.2	595981151218	591255026725	..
Mexico	MEX	Total debt service (% of exports of goods, services and primary income)	DT.TDS.DECT.EX.ZS	21.7671536616229	31.8721046082041	18.8534358233458	14.2819574213038	11.6218684544373	13.3021139066279	15.7359205334234	14.4748436269398	8.6120372079918	8.14585545015927	9.51997025016336	..
Mexico	MEX	Net migration	SM.POP.NETM	-321764	-356433	-304472	-227499	-175356	-169628	-147456	-122791	-108438	-101044	-104581	-108037
Mexico	MEX	Personal remittances, received (current US$)	BX.TRF.PWKR.CD.DT	3098000000	7524742980	29328819630	32922876924	36526305945	39833517538	43977653965	55067029560	61457717975	66237847600	67637913797	..
Mexico	MEX	Foreign direct investment, net inflows (BoP, current US$)	BX.KLT.DINV.CD.WD	2634000000	18382284821	38902371602	33138670924	37867130066	29948988013	31539907143	35619468178	39187900956	30704328031	45467026968	..
Mexico	MEX	Net official development assistance and official aid received (current US$)	DT.ODA.ALLD.CD	178339996.337891	-40460056.3049316	809336181.640625	754608337.402344	549208068.847656	526257812.5	794995605.46875	564826477.050781	496684570.3125	451662292.480469	..	..
															
															
															
Data from database: World Development Indicators															
Last Updated: 02/24/2026															
